id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,721,87,0.42916666666666664,0.015806686046511628,825,50,Navigation Menu
1,716,39,0.4261904761904762,0.007085755813953488,640,43,Navigation Menu
2,1392,35,0.8285714285714286,0.006359011627906977,37,45,Icon
3,136,197,0.08095238095238096,0.0357921511627907,707,396,Image
4,1133,504,0.674404761904762,0.09156976744186046,115,59,Button
5,1171,904,0.6970238095238095,0.16424418604651161,280,279,Form
6,1186,1032,0.705952380952381,0.1875,251,49,Input field
7,1189,1080,0.7077380952380953,0.19622093023255813,245,50,Button
8,710,1026,0.4226190476190476,0.18640988372093023,101,52,Button
9,547,1855,0.3255952380952381,0.33702761627906974,443,90,Text
10,507,4819,0.30178571428571427,0.8755450581395349,672,97,Form
11,521,4843,0.3101190476190476,0.879905523255814,220,52,Input field
12,742,4842,0.44166666666666665,0.8797238372093024,220,54,Input field
13,962,4843,0.5726190476190476,0.879905523255814,197,52,Button
