id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1031,1083,0.6136904761904762,0.3430471967057333,35,38,Icon
1,1064,1084,0.6333333333333333,0.3433639531200507,37,36,Icon
2,1099,1084,0.6541666666666667,0.3433639531200507,37,36,Icon
3,1134,1084,0.675,0.3433639531200507,40,36,Icon
4,1030,1258,0.6130952380952381,0.39847956921127653,284,26,Input field
5,1034,1297,0.6154761904761905,0.41083306936965475,92,40,Button
6,1029,992,0.6125,0.31422236300285084,294,38,Input field
7,359,697,0.21369047619047618,0.22077922077922077,159,34,Text
8,681,1571,0.40535714285714286,0.4976243268926196,308,209,Image
9,360,1578,0.21428571428571427,0.4998416217928413,271,63,Text
10,359,1708,0.21369047619047618,0.541019955654102,298,95,Text
11,1033,1815,0.6148809523809524,0.5749128919860628,144,24,Input field
12,1033,1897,0.6148809523809524,0.6008869179600886,169,29,Input field
13,1029,1803,0.6125,0.571111815014254,298,10,Line
14,1028,1889,0.611904761904762,0.5983528666455495,298,10,Line
15,362,828,0.2154761904761905,0.26227431105479887,621,618,Image
16,360,206,0.21428571428571427,0.06525182134938233,794,60,Navigation Menu
